排名,行业名称,平均涨幅,股票数量,count
1,黄金,26.19,9,9
2,石油开采,14.24,21,21
3,铅锌,8.86,14,14
4,石油贸易,7.64,4,4
5,种植业,5.41,19,19
6,玻璃,5.33,18,18
7,白酒,4.84,20,20
8,影视音像,3.66,35,35
9,铜,3.54,18,18
10,批发业,2.9,5,5
11,染料涂料,2.77,33,33
12,红黄酒,2.5,9,9
13,出版业,1.89,29,29
14,其他建材,1.09,29,29
15,银行,0.97,42,42
16,路桥,0.87,19,19
17,互联网,0.55,78,78
18,服饰,0.49,65,65
19,全国地产,0.47,26,26
20,港口,0.28,16,16
21,铝,0.15,30,30
22,焦炭加工,0.13,7,7
23,家居用品,0.06,71,71
24,新型电力,0.04,30,30
25,综合类,-0.01,19,19
26,保险,-0.11,5,5
27,房产服务,-0.22,13,13
28,广告包装,-0.43,53,53
29,钢加工,-0.53,23,23
30,农药化肥,-0.63,57,57
31,环境保护,-0.66,121,121
32,煤炭开采,-0.66,26,26
33,机场,-0.87,5,5
34,供气供热,-0.88,45,45
35,水泥,-0.92,22,22
36,水务,-1.11,15,15
37,矿物制品,-1.23,34,34
38,纺织,-1.27,42,42
39,区域地产,-1.31,44,44
40,水力发电,-1.38,22,22
41,铁路,-1.42,7,7
42,水运,-1.43,19,19
43,小金属,-1.45,64,64
44,石油加工,-1.45,14,14
45,造纸,-1.47,33,33
46,啤酒,-1.52,8,8
47,普钢,-1.57,25,25
48,装修装饰,-1.64,26,26
49,建筑工程,-1.76,129,129
50,渔业,-1.77,7,7
51,商贸代理,-1.87,17,17
52,乳制品,-1.89,21,21
53,农业综合,-1.89,43,43
54,食品,-2.11,93,93
55,日用化工,-2.18,20,20
56,证券,-2.33,50,50
57,仓储物流,-2.34,45,45
58,旅游景点,-2.34,18,18
59,运输设备,-2.46,49,49
60,软饮料,-2.53,9,9
61,文教休闲,-2.53,52,52
62,专用机械,-2.54,279,279
63,饲料,-2.55,23,23
64,中成药,-2.66,68,68
65,塑料,-2.71,78,78
66,化工原料,-2.72,256,256
67,纺织机械,-2.74,11,11
68,火力发电,-2.77,31,31
69,半导体,-2.83,190,190
70,酒店餐饮,-2.83,9,9
71,林业,-2.92,4,4
72,通信设备,-2.93,135,135
73,橡胶,-3.04,17,17
74,公共交通,-3.05,7,7
75,化纤,-3.17,34,34
76,农用机械,-3.25,13,13
77,医药商业,-3.35,36,36
78,机械基件,-3.75,134,134
79,船舶,-3.82,11,11
80,旅游服务,-3.88,8,8
81,电器连锁,-4.08,2,2
82,医疗保健,-4.1,177,177
83,化工机械,-4.19,13,13
84,元器件,-4.2,300,300
85,园区开发,-4.22,14,14
86,家用电器,-4.26,91,91
87,特种钢,-4.4,10,10
88,电气设备,-4.55,338,338
89,多元金融,-4.59,23,23
90,工程机械,-4.61,38,38
91,百货,-4.7,35,35
92,化学制药,-4.71,148,148
93,电器仪表,-4.71,105,105
94,汽车整车,-4.73,22,22
95,汽车服务,-4.81,10,10
96,陶瓷,-5.09,5,5
97,超市连锁,-5.11,8,8
98,汽车配件,-5.11,257,257
99,电信运营,-5.51,5,5
100,商品城,-5.52,4,4
101,软件服务,-5.62,280,280
102,航空,-5.7,53,53
103,IT设备,-5.98,78,78
104,其他商业,-6.09,12,12
105,生物制药,-6.32,80,80
106,轻工机械,-6.36,7,7
107,空运,-6.81,8,8
108,机床制造,-7.03,24,24
109,摩托车,-7.2,12,12
110,公路,-8.07,3,3
